state,city,organisation,description,costservices_id,addressbook_id,services_id,wef,remarks,tourleaderfree,servicecharges,agentcharges,commissionontransport,cities_id,costservicesdistinct_id,costservicestransport_id,costservice_id,frompax,topax,vehicles_id,fit,costnonac,costac,parkingfee,currencies_id,masters_id,obsolete,RoadTaxPerDay,MeetAndAssist,EntryAp,SpecialGst,nett,SpecialGst2,nett2,vehicle
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Transfer from railway station to hotel,7408,2890,382,2020-03-01T00:00:00,Meet & Assist by Rimo Expeditions,,,0,0,103,,38097,7408,5,9,3,0,0,1957,0,13,,,0,750,0,,0,,0,Tempo Traveller
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Transfer from railway station to hotel,7408,2890,382,2020-03-01T00:00:00,Meet & Assist by Rimo Expeditions,,,0,0,103,,38098,7408,10,18,14,0,0,3331,0,13,,,0,750,0,,0,,0,Mini Coach
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Transfer from railway station to hotel,7408,2890,382,2020-03-01T00:00:00,Meet & Assist by Rimo Expeditions,,,0,0,103,,38099,7408,3,4,40,0,0,1379,0,13,,,0,750,0,,0,,0,Toyota Innova
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Transfer from railway station to hotel,7408,2890,382,2020-03-01T00:00:00,Meet & Assist by Rimo Expeditions,,,0,0,103,,38100,7408,1,2,42,0,0,1239,0,13,,,0,750,0,,0,,0,Standard Car
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Transfer from hotel to railway station,7409,2890,383,2020-03-01T00:00:00,Meet & Assist by Rimo Expeditions,,,0,0,103,,38101,7409,5,9,3,0,0,1957,0,13,,,0,350,0,,0,,0,Tempo Traveller
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Transfer from hotel to railway station,7409,2890,383,2020-03-01T00:00:00,Meet & Assist by Rimo Expeditions,,,0,0,103,,38102,7409,10,18,14,0,0,3331,0,13,,,0,350,0,,0,,0,Mini Coach
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Transfer from hotel to railway station,7409,2890,383,2020-03-01T00:00:00,Meet & Assist by Rimo Expeditions,,,0,0,103,,38103,7409,3,4,40,0,0,1379,0,13,,,0,350,0,,0,,0,Toyota Innova
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Transfer from hotel to railway station,7409,2890,383,2020-03-01T00:00:00,Meet & Assist by Rimo Expeditions,,,0,0,103,,38104,7409,1,2,42,0,0,1239,0,13,,,0,350,0,,0,,0,Standard Car
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Full-day city tour of Old & New Delhi,7124,2890,696,2019-10-01T00:00:00,Delhi Guide provided by Kaustubh Holidays in Jaipur,,,,,103,,37681,7124,5,9,3,0,0,2921,0,13,,,0,0,0,,0,,0,Tempo Traveller
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Full-day city tour of Old & New Delhi,7124,2890,696,2019-10-01T00:00:00,Delhi Guide provided by Kaustubh Holidays in Jaipur,,,,,103,,37682,7124,10,18,14,0,0,5258,0,13,,,0,0,0,,0,,0,Mini Coach
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Full-day city tour of Old & New Delhi,7124,2890,696,2019-10-01T00:00:00,Delhi Guide provided by Kaustubh Holidays in Jaipur,,,,,103,,37683,7124,3,4,40,0,0,1869,0,13,,,0,0,0,,0,,0,Toyota Innova
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Full-day city tour of Old & New Delhi,7124,2890,696,2019-10-01T00:00:00,Delhi Guide provided by Kaustubh Holidays in Jaipur,,,,,103,,37684,7124,1,2,42,0,0,1694,0,13,,,0,0,0,,0,,0,Standard Car
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Full-day tour of New Delhi,7125,2890,1120,2019-10-01T00:00:00,Delhi Guide provided by Kaustubh Holidays in Jaipur,,,0,0,103,,37685,7125,5,9,3,0,0,2921,0,13,,,0,0,0,,0,,0,Tempo Traveller
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Full-day tour of New Delhi,7125,2890,1120,2019-10-01T00:00:00,Delhi Guide provided by Kaustubh Holidays in Jaipur,,,0,0,103,,37686,7125,10,18,14,0,0,5258,0,13,,,0,0,0,,0,,0,Mini Coach
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Full-day tour of New Delhi,7125,2890,1120,2019-10-01T00:00:00,Delhi Guide provided by Kaustubh Holidays in Jaipur,,,0,0,103,,37687,7125,3,4,40,0,0,1869,0,13,,,0,0,0,,0,,0,Toyota Innova
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Full-day tour of New Delhi,7125,2890,1120,2019-10-01T00:00:00,Delhi Guide provided by Kaustubh Holidays in Jaipur,,,0,0,103,,37688,7125,1,2,42,0,0,1694,0,13,,,0,0,0,,0,,0,Standard Car
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Transfer from Domestic airport to hotel,7118,2890,380,2019-10-01T00:00:00,Meet & Assist by Rimo Expeditions,,,0,0,103,,37657,7118,5,9,3,0,0,2106,1300,13,,,0,350,0,,0,,0,Tempo Traveller
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Transfer from Domestic airport to hotel,7118,2890,380,2019-10-01T00:00:00,Meet & Assist by Rimo Expeditions,,,0,0,103,,37658,7118,10,18,14,0,0,3564,1300,13,,,0,350,0,,0,,0,Mini Coach
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Transfer from Domestic airport to hotel,7118,2890,380,2019-10-01T00:00:00,Meet & Assist by Rimo Expeditions,,,0,0,103,,37659,7118,3,4,40,0,0,1586,0,13,,,0,350,0,,0,,0,Toyota Innova
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Transfer from Domestic airport to hotel,7118,2890,380,2019-10-01T00:00:00,Meet & Assist by Rimo Expeditions,,,0,0,103,,37660,7118,1,2,42,0,0,1458,0,13,,,0,350,0,,0,,0,Standard Car
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Transfer from hotel to Domestic airport,7119,2890,381,2019-10-01T00:00:00,Meet & Assist by Rimo Expeditions,,,0,0,103,,37661,7119,5,9,3,0,0,2106,500,13,,,0,350,0,,0,,0,Tempo Traveller
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Transfer from hotel to Domestic airport,7119,2890,381,2019-10-01T00:00:00,Meet & Assist by Rimo Expeditions,,,0,0,103,,37662,7119,10,18,14,0,0,3564,500,13,,,0,350,0,,0,,0,Mini Coach
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Transfer from hotel to Domestic airport,7119,2890,381,2019-10-01T00:00:00,Meet & Assist by Rimo Expeditions,,,0,0,103,,37663,7119,3,4,40,0,0,1586,0,13,,,0,350,0,,0,,0,Toyota Innova
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Transfer from hotel to Domestic airport,7119,2890,381,2019-10-01T00:00:00,Meet & Assist by Rimo Expeditions,,,0,0,103,,37664,7119,1,2,42,0,0,1458,0,13,,,0,350,0,,0,,0,Standard Car
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Transfer from railway station to hotel,7120,2890,382,2019-10-01T00:00:00,Meet & Assist by Rimo Expeditions,,,0,0,103,,37665,7120,5,9,3,0,0,1957,0,13,,,0,350,0,,0,,0,Tempo Traveller
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Transfer from railway station to hotel,7120,2890,382,2019-10-01T00:00:00,Meet & Assist by Rimo Expeditions,,,0,0,103,,37666,7120,10,18,14,0,0,3331,0,13,,,0,350,0,,0,,0,Mini Coach
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Transfer from railway station to hotel,7120,2890,382,2019-10-01T00:00:00,Meet & Assist by Rimo Expeditions,,,0,0,103,,37667,7120,3,4,40,0,0,1379,0,13,,,0,350,0,,0,,0,Toyota Innova
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Transfer from railway station to hotel,7120,2890,382,2019-10-01T00:00:00,Meet & Assist by Rimo Expeditions,,,0,0,103,,37668,7120,1,2,42,0,0,1239,0,13,,,0,350,0,,0,,0,Standard Car
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Transfer from hotel to railway station,7121,2890,383,2019-10-01T00:00:00,Meet & Assist by Rimo Expeditions,,,0,0,103,,37669,7121,5,9,3,0,0,1957,0,13,,,0,350,0,,0,,0,Tempo Traveller
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Transfer from hotel to railway station,7121,2890,383,2019-10-01T00:00:00,Meet & Assist by Rimo Expeditions,,,0,0,103,,37670,7121,10,18,14,0,0,3331,0,13,,,0,350,0,,0,,0,Mini Coach
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Transfer from hotel to railway station,7121,2890,383,2019-10-01T00:00:00,Meet & Assist by Rimo Expeditions,,,0,0,103,,37671,7121,3,4,40,0,0,1379,0,13,,,0,350,0,,0,,0,Toyota Innova
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Transfer from hotel to railway station,7121,2890,383,2019-10-01T00:00:00,Meet & Assist by Rimo Expeditions,,,0,0,103,,37672,7121,1,2,42,0,0,1239,0,13,,,0,350,0,,0,,0,Standard Car
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Half-day tour of Old Delhi,7122,2890,611,2019-10-01T00:00:00,Delhi Guide provided by Kaustubh Holidays in Jaipur,,,,,103,,37673,7122,5,9,3,0,0,1957,0,13,,,0,0,0,,0,,0,Tempo Traveller
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Half-day tour of Old Delhi,7122,2890,611,2019-10-01T00:00:00,Delhi Guide provided by Kaustubh Holidays in Jaipur,,,,,103,,37674,7122,10,18,14,0,0,3734,0,13,,,0,0,0,,0,,0,Mini Coach
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Half-day tour of Old Delhi,7122,2890,611,2019-10-01T00:00:00,Delhi Guide provided by Kaustubh Holidays in Jaipur,,,,,103,,37675,7122,3,4,40,0,0,1344,0,13,,,0,0,0,,0,,0,Toyota Innova
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Half-day tour of Old Delhi,7122,2890,611,2019-10-01T00:00:00,Delhi Guide provided by Kaustubh Holidays in Jaipur,,,,,103,,37676,7122,1,2,42,0,0,1239,0,13,,,0,0,0,,0,,0,Standard Car
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Half-day tour of New Delhi,7123,2890,612,2019-10-01T00:00:00,Delhi Guide provided by Kaustubh Holidays in Jaipur,,,,,103,,37677,7123,5,9,3,0,0,1957,0,13,,,0,0,0,,0,,0,Tempo Traveller
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Half-day tour of New Delhi,7123,2890,612,2019-10-01T00:00:00,Delhi Guide provided by Kaustubh Holidays in Jaipur,,,,,103,,37678,7123,10,18,14,0,0,3734,0,13,,,0,0,0,,0,,0,Mini Coach
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Half-day tour of New Delhi,7123,2890,612,2019-10-01T00:00:00,Delhi Guide provided by Kaustubh Holidays in Jaipur,,,,,103,,37679,7123,3,4,40,0,0,1344,0,13,,,0,0,0,,0,,0,Toyota Innova
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Half-day tour of New Delhi,7123,2890,612,2019-10-01T00:00:00,Delhi Guide provided by Kaustubh Holidays in Jaipur,,,,,103,,37680,7123,1,2,42,0,0,1239,0,13,,,0,0,0,,0,,0,Standard Car
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Transfer from International airport to hotel,7116,2890,98,2019-10-01T00:00:00,Meet & Assist by Rimo Expeditions,,,0,0,103,,37649,7116,5,9,3,0,0,2106,1300,13,,,,350,0,,0,,0,Tempo Traveller
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Transfer from International airport to hotel,7116,2890,98,2019-10-01T00:00:00,Meet & Assist by Rimo Expeditions,,,0,0,103,,37650,7116,10,18,14,0,0,3564,1300,13,,,,350,0,,0,,0,Mini Coach
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Transfer from International airport to hotel,7116,2890,98,2019-10-01T00:00:00,Meet & Assist by Rimo Expeditions,,,0,0,103,,37651,7116,3,4,40,0,0,1586,0,13,,,,350,0,,0,,0,Toyota Innova
