state,city,organisation,description,costservices_id,addressbook_id,services_id,wef,remarks,tourleaderfree,servicecharges,agentcharges,commissionontransport,cities_id,costservicesdistinct_id,costservicesentrancefees_id,costservices_id,frompax,topax,cost,tourleaderfree,remarks,currencies_id,resident,SpecialGst,nett
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Half-day tour of New Delhi,7123,2890,00:00.0,2019-10-01T00:00:00,Delhi Guide provided by Kaustubh Holidays in Jaipur,,,,,103,,2945,7123,1,35,5,0,Tughlakabad,13,1,,0
Delhi,Delhi,Kaustubh Holidays Tours & Travels Pvt Ltd,Half-day tour of New Delhi,6996,2170,00:00.0,2019-10-01T00:00:00,,,0,0,0,103,1397,2860,6996,1,35,30,0,Qutab Minar,13,1,,0
Delhi,Delhi,Kaustubh Holidays Tours & Travels Pvt Ltd,Half-day tour of New Delhi,6996,2170,00:00.0,2019-10-01T00:00:00,,,0,0,0,103,1397,2861,6996,1,35,500,0,Qutab Minar,13,2,,0
Delhi,Delhi,Kaustubh Holidays Tours & Travels Pvt Ltd,Half-day tour of New Delhi,6996,2170,00:00.0,2019-10-01T00:00:00,,,0,0,0,103,1397,2862,6996,1,35,30,0,Humayun's Tomb,13,1,,0
Delhi,Delhi,Kaustubh Holidays Tours & Travels Pvt Ltd,Half-day tour of New Delhi,6996,2170,00:00.0,2019-10-01T00:00:00,,,0,0,0,103,1397,2863,6996,1,35,500,0,Humayun's Tomb,13,2,,0
Delhi,Delhi,Kaustubh Holidays Tours & Travels Pvt Ltd,Half-day tour of Old Delhi,6997,2170,00:00.0,2019-10-01T00:00:00,Red Fort is closed on Mondays  ,,0,0,0,103,1398,2864,6997,1,35,30,0,Red Fort,13,1,,0
Delhi,Delhi,Kaustubh Holidays Tours & Travels Pvt Ltd,Half-day tour of Old Delhi,6997,2170,00:00.0,2019-10-01T00:00:00,Red Fort is closed on Mondays  ,,0,0,0,103,1398,2865,6997,1,35,500,0,Red Fort,13,2,,0
Delhi,Delhi,Kaustubh Holidays Tours & Travels Pvt Ltd,Full-day city tour of Old & New Delhi,6998,2170,00:00.0,2019-10-01T00:00:00,Red Fort is closed on Mondays,,0,0,0,103,1399,2866,6998,1,35,500,0,Red Fort,13,2,,0
Delhi,Delhi,Kaustubh Holidays Tours & Travels Pvt Ltd,Full-day city tour of Old & New Delhi,6998,2170,00:00.0,2019-10-01T00:00:00,Red Fort is closed on Mondays,,0,0,0,103,1399,2867,6998,1,35,30,0,Red Fort,13,1,,0
Delhi,Delhi,Kaustubh Holidays Tours & Travels Pvt Ltd,Full-day city tour of Old & New Delhi,6998,2170,00:00.0,2019-10-01T00:00:00,Red Fort is closed on Mondays,,0,0,0,103,1399,2868,6998,1,35,500,0,Qutab Minar,13,2,,0
Delhi,Delhi,Kaustubh Holidays Tours & Travels Pvt Ltd,Full-day city tour of Old & New Delhi,6998,2170,00:00.0,2019-10-01T00:00:00,Red Fort is closed on Mondays,,0,0,0,103,1399,2869,6998,1,35,30,0,Qutab Minar,13,1,,0
Delhi,Delhi,Kaustubh Holidays Tours & Travels Pvt Ltd,Full-day city tour of Old & New Delhi,6998,2170,00:00.0,2019-10-01T00:00:00,Red Fort is closed on Mondays,,0,0,0,103,1399,2870,6998,1,35,500,0,Humayun's Tomb,13,2,,0
Delhi,Delhi,Kaustubh Holidays Tours & Travels Pvt Ltd,Full-day city tour of Old & New Delhi,6998,2170,00:00.0,2019-10-01T00:00:00,Red Fort is closed on Mondays,,0,0,0,103,1399,2871,6998,1,35,30,0,Humayun's Tomb,13,1,,0
Gujarat,Dasada,Rann Riders,Early morning wildlife safari in the Little Rann of Kutch,7361,2256,00:00.0,2019-10-01T00:00:00,"The park is open all year; October to March is the best time to visit  For birders: November to February, when it is cooler and migratory birds arrive in the thousands  ",,0,0,0,486,1180,2998,7361,1,30,600,0,Entrance to Rann of Kutch,13,4,,0
Gujarat,Dasada,Indo West Tours,Afternoon bird-watching trip,7441,2924,00:00.0,2020-10-01T00:00:00,"Pax should do one jeep safari and one village safari as in that case there is no extra cost. If pax want to do a second safari, then the extra cost is Rs 3,000/- entrance fee per jeep. Entrance fees for a jeep are actually less on weekdays. We have taken the higher amount for our costing.  The park is open all year; October to March is the best time to visit. For birders: November to February, when it is cooler and migratory birds arrive in the thousands.",,,,,486,,3011,7441,1,35,3000,0,2400 during week days,13,4,,0
Gujarat,Dasada,Indo West Tours,Afternoon bird-watching trip,7059,2924,00:00.0,2019-10-01T00:00:00,"Pax should do one jeep safari and one village safari as in that case there is no extra cost. If pax want to do a second safari, then the extra cost is Rs 3,000/- entrance fee per jeep. Entrance fees for a jeep are actually less on weekdays. We have taken the higher amount for our costing.  The park is open all year; October to March is the best time to visit. For birders: November to February, when it is cooler and migratory birds arrive in the thousands.",,,,,486,,2900,7059,1,35,3000,0,2400 during week days,13,4,,0
Gujarat,Ahmedabad,Indo West Tours,Full day city tour of Ahmedabad,7050,2924,00:00.0,2019-10-01T00:00:00,,,,0,0,12,,2895,7050,1,35,200,0,Heritage Walk,13,4,,0
Gujarat,Ahmedabad,Indo West Tours,Full day city tour of Ahmedabad,7050,2924,00:00.0,2019-10-01T00:00:00,,,,0,0,12,,2896,7050,1,35,100,0,Vaishali Museum,13,4,,0
Gujarat,Ahmedabad,Indo West Tours,Full day excursion to Patan & Modhera,7051,2924,00:00.0,2019-10-01T00:00:00,,,,0,0,12,,2897,7051,1,35,600,0,Modera Sun Temple,13,4,,0
Gujarat,Ahmedabad,Indo West Tours,Full day excursion to Patan & Modhera,7051,2924,00:00.0,2019-10-01T00:00:00,,,,0,0,12,,2898,7051,1,35,600,0,Patan Stepwell,13,4,,0
Gujarat,Ahmedabad,Indo West Tours,Half day city tour of Ahmedabad,7053,2924,00:00.0,2019-10-01T00:00:00,,,,0,0,12,,2899,7053,1,35,100,0,Vishala Museum,13,4,,0
Himachal Pradesh,Dharamsala,Summit Adventures,Half-day city tour,6955,2144,00:00.0,2019-10-01T00:00:00,,,0,0,0,112,1044,2824,6955,1,35,250,0,Entrance into monasteries,13,4,,0
Himachal Pradesh,Dharamsala,Summit Adventures,Full-day city tour,6956,2144,00:00.0,2019-10-01T00:00:00,,,0,0,0,112,1045,2825,6956,1,35,250,0,Entrance into monasteries,13,4,,0
Karnataka,Hospet,Krishna Palace,Full-day sightseeing Hampi,7076,2434,00:00.0,2019-10-01T00:00:00,,,0,0,0,156,1243,2901,7076,1,35,500,0, Group of monuments at Hampi,13,4,,0
Karnataka,Hospet,Krishna Palace,Full-day sightseeing Hampi,7076,2434,00:00.0,2019-10-01T00:00:00,,,0,0,0,156,1243,2902,7076,1,35,30,0, Group of monuments at Hampi,13,1,,0
