state,city,organisation,roomtype,currency,currency,mealplan,mealplan,hoteltariffs_id,seasons_id,roomtypes_id,currencies_id,currencies_pt_id,cost_single,cost_single_pt,cost_single_ac,cost_single_ac_pt,cost_double,cost_double_pt,cost_double_ac,cost_double_ac_pt,nett,nett_pt,mealplans_id,mealplans_pt_id,freetransfer,extrabed,extrabed_pt,seasons_id,addressbook_id,fromdate,todate,frompax,to_pax,git,servicecharges,tac,tac_pt,taconmealplan,taconmealplan_pt,servicechargesonplan,closed,tl_discount,tl_discountabove,tl_freeabove,tl_halfdouble,extrabedcost,policyonescorts_id,dayoftheweek,extrabedpercentage,luxtax,luxtaxonpt,exptax,salestax,salestaxinclusive,default_roomtypes_id,default_ac,exptax_notapplicable,salestaxinclusive_pt,SpecialPeriod,Notes,AgentCommPerc,roomtype
Rajasthan,Jaipur,Samode Haveli,Sheesh Mahal or Equivalent Room,Indian Rupee,Indian Rupee,,Bed & breakfast,431915,14912,221,13,13,,,,25500,,,,25500,0,0,,2,0,,3800,14912,624,2019-04-16T00:00:00,2019-04-30T00:00:00,1,15,0,0,0,,0,0,0,0,0,,15,0,1000,4,127,0,10,0,8.7,,0,10,1,0,0,,,,Sheesh Mahal or Equivalent Room
Rajasthan,Jaipur,Samode Haveli,Haveli Suite,Indian Rupee,Indian Rupee,Bed & breakfast,Bed & breakfast,431916,14912,384,13,13,,,10900,25000,,,10900,25000,0,0,2,2,0,3500,3800,14912,624,2019-04-16T00:00:00,2019-04-30T00:00:00,1,15,0,0,0,,0,0,0,0,0,,15,0,1000,4,127,0,10,0,8.7,,0,10,1,0,0,,,,Haveli Suite
Madhya Pradesh,Bandhavgarh,Samode Safari Lodge,Luxury Cottage,Indian Rupee,Indian Rupee,Jungle Plan,Jungle Plan,431934,14918,197,13,13,,,24000,38500,,,36000,53000,1,0,7,7,0,,,14918,2616,2019-04-16T00:00:00,2019-06-30T00:00:00,1,15,0,,,,0,0,0,0,,,,0,,,127,,10,0,7.42,,0,197,1,0,,,,,Luxury Cottage
Kerala,Kochi,Old Harbour Hotel,Superior Room,Indian Rupee,Indian Rupee,Bed & breakfast,,431944,14922,25,13,13,,,13625,,,,13625,,1,0,2,,0,3765,,14922,2294,2019-01-11T00:00:00,2019-03-31T00:00:00,1,15,0,,0,0,0,0,0,0,,,,0,,,127,,12,0,9,,0,25,1,0,,,,,Superior Room
Kerala,Kochi,Old Harbour Hotel,Garden View Room,Indian Rupee,Indian Rupee,Bed & breakfast,,431945,14922,36,13,13,,,16815,,,,16815,,1,0,2,,0,3765,,14922,2294,2019-01-11T00:00:00,2019-03-31T00:00:00,1,15,0,,0,0,0,0,0,0,,,,0,,,127,,12,0,9,,0,25,1,0,,,,,Garden View Room
Kerala,Kochi,Old Harbour Hotel,Garden View Cottage,Indian Rupee,Indian Rupee,Bed & breakfast,,431946,14922,195,13,13,,,18070,,,,18070,,1,0,2,,0,3765,,14922,2294,2019-01-11T00:00:00,2019-03-31T00:00:00,1,15,0,,0,0,0,0,0,0,,,,0,,,127,,12,0,9,,0,25,1,0,,,,,Garden View Cottage
Kerala,Kochi,Old Harbour Hotel,Suite,Indian Rupee,Indian Rupee,Bed & breakfast,,431947,14922,9,13,13,,,23451,,,,23451,,1,0,2,,0,3765,,14922,2294,2019-01-11T00:00:00,2019-03-31T00:00:00,1,15,0,,0,0,0,0,0,0,,,,0,,,127,,12,0,9,,0,25,1,0,,,,,Suite
Tamil Nadu,Madurai,Heritage Madurai,Luxury Villa,Indian Rupee,Indian Rupee,Bed & breakfast,,431991,14942,91,13,13,,,9000,,,,9500,,1,0,2,,0,1750,,14942,2517,2019-01-21T00:00:00,2019-03-31T00:00:00,1,15,0,,,0,0,0,0,0,,,,0,,,127,,,0,,,0,487,1,0,0,,,,Luxury Villa
Tamil Nadu,Madurai,Heritage Madurai,Deluxe Club Room,Indian Rupee,Indian Rupee,Bed & breakfast,,431992,14942,487,13,13,,,6250,,,,6750,,1,0,2,,0,1750,,14942,2517,2019-01-21T00:00:00,2019-03-31T00:00:00,1,15,0,,,0,0,0,0,0,,,,0,,,127,,,0,,,0,487,1,0,0,,,,Deluxe Club Room
Goa,Goa,The Bay Agonda,River View Cottage,Indian Rupee,Indian Rupee,Bed & breakfast,,432017,14955,754,13,13,,,5550,,,,5550,,1,0,2,,0,1180,,14955,2953,2019-01-11T00:00:00,2019-02-28T00:00:00,1,15,0,0,0,,0,0,0,0,0,0,0,0,0,,127,0,11,0,9,0,0,358,1,0,0,,,,River View Cottage
